單字,字頻,拆字1,code1
奴,8092.0,女水,ve
歇,8092.0,日女弓人,avno
嬌,8091.0,女竹大月,vhkb
狹,8091.0,大竹大人人,khkoo
潰,8091.0,水中一金,elmc
慨,8090.0,心日戈山,paiu
窄,8090.0,十金人尸,jcos
桑,8089.0,水水水木,eeed
恭,8089.0,廿金心,tcp
晃,8089.0,日火一山,afmu
銳,8088.0,金金口山,ccru
抖,8088.0,手卜十,qyj
虹,8088.0,中戈一,lim
蛇,8087.0,中戈十心,lijp
痴,8087.0,大人大口,kokr
屍,8086.0,尸一弓心,smnp
脆,8086.0,月弓一山,bnmu
昆,8086.0,日心心,app
鬱,8085.0,木木月山竹,ddbuh
拆,8085.0,手竹一卜,qhmy
玄,8085.0,卜女戈,yvi
餵,8084.0,人戈田一女,oiwmv
渦,8084.0,水月月口,ebbr
扇,8083.0,竹尸尸一一,hssmm
頃,8083.0,心一月金,pmbc
碳,8083.0,一口山大火,mrukf
葬,8082.0,廿一心廿,tmpt
嘛,8082.0,口戈木木,ridd
甄,8082.0,一土一女弓,mgmvn
紗,8081.0,女火火竹,vffh
逆,8081.0,卜廿山,ytu
纖,8080.0,女火人戈一,vfoim
糾,8080.0,女火女中,vfvl
繫,8080.0,十水女戈火,jevif
霞,8079.0,一月口尸水,mbrse
蔣,8079.0,廿女一戈,tvmi
遜,8078.0,卜弓木火,yndf
脅,8078.0,大尸大尸月,ksksb
熊,8078.0,戈心火,ipf
蠶,8077.0,一山日中戈,muali
恰,8077.0,心人一口,pomr
繡,8076.0,女火中難,vflx
箏,8076.0,竹月尸木,hbsd
攜,8076.0,手山人月,quob
腫,8075.0,月竹十土,bhjg
碟,8075.0,一口心廿木,mrptd
誇,8075.0,卜口大一尸,yrkms
脣,8074.0,一女月,mvb
羨,8074.0,廿土水弓人,tgeno
掙,8073.0,手月尸木,qbsd
浩,8073.0,水竹土口,ehgr
蚊,8073.0,中戈卜大,liyk
挫,8072.0,手人人土,qoog
牲,8072.0,竹手竹手一,hqhqm
伙,8071.0,人火,of
咬,8071.0,口卜金大,ryck
匠,8071.0,尸竹一中,shml
穫,8070.0,竹木廿人水,hdtoe
曰,8070.0,日,a
謠,8069.0,卜口月人山,yrbou
劍,8069.0,人人中弓,ooln
瑪,8069.0,一土尸手火,mgsqf
傻,8068.0,人竹金水,ohce
涵,8068.0,水山弓水,eune
械,8067.0,木戈廿,dit
丘,8067.0,人一,om
瑰,8067.0,一土竹山戈,mghui
瑟,8066.0,一土心竹,mgph
亭,8066.0,卜口月弓,yrbn
葛,8065.0,廿日心女,tapv
喚,8065.0,口弓月大,rnbk
灘,8065.0,水廿人土,etog
淘,8064.0,水心人山,epou
缸,8064.0,人山一,oum
泛,8063.0,水竹戈人,ehio
芭,8063.0,廿日山,tau
叮,8062.0,口一弓,rmn
吊,8062.0,口中月,rlb
卵,8062.0,竹竹尸中戈,hhsli
扎,8061.0,手山,qu
欠,8061.0,弓人,no
摘,8060.0,手卜金月,qycb
酬,8060.0,一田戈中中,mwill
譽,8060.0,竹金卜一口,hcymr
晴,8059.0,日手一月,aqmb
傘,8059.0,人人人十,oooj
兔,8058.0,弓日竹戈,nahi
罕,8058.0,月金一十,bcmj
姆,8058.0,女田卜戈,vwyi
磚,8057.0,一口十戈戈,mrjii
蝴,8057.0,中戈十口月,lijrb
慾,8056.0,金人心,cop
毅,8056.0,卜人竹弓水,yohne
柴,8055.0,卜心木,ypd
陵,8055.0,弓中土金水,nlgce
臥,8055.0,尸中人,slo
侍,8054.0,人土木戈,ogdi
旺,8054.0,日一土,amg
斗,8053.0,卜十,yj
糕,8053.0,火木廿土火,fdtgf
卑,8052.0,竹田竹十,hwhj
肺,8052.0,月十月,bjb
穀,8052.0,土木竹弓水,gdhne
菊,8051.0,廿心火木,tpfd
窩,8051.0,十金月月口,jcbbr
掩,8050.0,手大中山,qklu
菲,8050.0,廿中一卜,tlmy
菸,8050.0,廿卜尸卜,tysy
洪,8049.0,水廿金,etc
俯,8049.0,人戈人戈,oioi
釣,8048.0,金心戈,cpi
鵝,8048.0,竹戈竹日火,hihaf
准,8047.0,戈一人土,imog
敘,8047.0,人木人大,odok
恆,8047.0,心一月一,pmbm
妮,8046.0,女尸心,vsp
汪,8046.0,水一土,emg
斤,8045.0,竹一中,hml
霸,8045.0,一月廿十月,mbtjb
贏,8044.0,卜弓月山金,ynbuc
勸,8044.0,廿土大尸,tgks
妨,8043.0,女卜竹尸,vyhs
霍,8043.0,一月人土,mbog
辨,8043.0,卜十戈中十,yjilj
駐,8042.0,尸火卜土,sfyg
潑,8042.0,水弓人水,enoe
蒸,8041.0,廿弓水火,tnef
頗,8041.0,木水一月金,dembc
罩,8040.0,田中卜日十,wlyaj
筒,8040.0,竹月一口,hbmr
渾,8040.0,水月十十,ebjj
敦,8039.0,卜木人大,ydok
堪,8039.0,土廿一女,gtmv
豈,8038.0,山一口廿,umrt
翅,8038.0,十水尸一一,jesmm
灌,8037.0,水廿口土,etrg
坑,8037.0,土卜竹弓,gyhn
噪,8036.0,口口口木,rrrd
緻,8036.0,女火一土大,vfmgk
黏,8036.0,竹水卜口,heyr
箭,8035.0,竹廿月弓,htbn
蜂,8035.0,中戈竹水十,lihej
逝,8034.0,卜手竹中,yqhl
芳,8033.0,廿卜竹尸,tyhs
柳,8033.0,木竹竹中,dhhl
蒂,8032.0,廿卜月月,tybb
芽,8032.0,廿一女竹,tmvh
餓,8032.0,人戈竹手戈,oihqi
玫,8031.0,一土人大,mgok
肢,8031.0,月十水,bje
錶,8030.0,金手一女,cqmv
纏,8030.0,女火戈田土,vfiwg
曆,8029.0,一竹木日,mhda
躺,8029.0,竹竹火月口,hhfbr
誘,8028.0,卜口竹木尸,yrhds
蓄,8028.0,廿卜女田,tyvw
撫,8028.0,手人廿火,qotf
矮,8027.0,人大竹木女,okhdv
漆,8027.0,水木人水,edoe
搜,8026.0,手竹難水,qhxe
喻,8026.0,口人一弓,romn
郊,8025.0,卜大弓中,yknl
浴,8025.0,水金人口,ecor
孕,8024.0,弓尸弓木,nsnd
盪,8024.0,水竹月廿,ehbt
慌,8023.0,心廿卜山,ptyu
拓,8023.0,手一口,qmr
鷹,8022.0,戈人土火,iogf
攤,8022.0,手廿人土,qtog
蹟,8021.0,,
樸,8021.0,木廿金人,dtco
餅,8020.0,人戈廿廿,oitt
鋒,8020.0,金竹水十,chej
袍,8019.0,中心口山,lpru
淑,8019.0,水卜火水,eyfe
巷,8018.0,廿金口山,tcru
馨,8018.0,土水竹木日,gehda
遞,8017.0,卜竹卜弓,yhyn
鄧,8017.0,弓廿弓中,ntnl
鍋,8017.0,金月月口,cbbr
斑,8016.0,一土卜大土,mgykg
漏,8016.0,水尸一月,esmb
舌,8015.0,竹十口,hjr
佩,8015.0,人竹弓月,ohnb
撐,8014.0,手火月竹,qfbh
艇,8014.0,竹卜弓大土,hynkg
翁,8013.0,金戈尸一,cism
拼,8013.0,手廿廿,qtt
牢,8012.0,十竹手,jhq
吞,8012.0,一大口,mkr
鑑,8011.0,金尸戈廿,csit
蟹,8011.0,弓手中一戈,nqlmi
獄,8010.0,大竹卜口大,khyrk
渴,8010.0,水日心女,eapv
挺,8009.0,手弓大土,qnkg
皆,8009.0,心心竹日,ppha
姻,8009.0,女田大,vwk
勉,8008.0,弓山大尸,nuks
猴,8008.0,大竹人弓大,khonk
莖,8007.0,廿一女一,tmvm
邦,8007.0,手十弓中,qjnl
繩,8006.0,女火口難山,vfrxu
瘋,8005.0,大竹弓戈,khni
煞,8005.0,弓大火,nkf
余,8004.0,人一木,omd
茫,8004.0,廿水卜女,teyv
毀,8003.0,竹土竹弓水,hghne
綜,8003.0,女火十一火,vfjmf
艱,8002.0,廿人日女,toav
殼,8002.0,土弓竹弓水,gnhne
憤,8001.0,心十廿金,pjtc
撲,8001.0,手廿金人,qtco
悶,8000.0,日弓心,anp
寞,7999.0,十廿日大,jtak
馳,7999.0,尸火心木,sfpd
釘,7998.0,金一弓,cmn
逢,7998.0,卜竹水十,yhej
貢,7997.0,一月山金,mbuc
氏,7997.0,竹女心,hvp
蜜,7996.0,十心竹戈,jphi
頒,7996.0,金竹一月金,chmbc
絡,7995.0,女火竹水口,vfher
鹿,7995.0,戈難心,ixp
涉,7994.0,水卜中竹,eylh
袖,7994.0,中中田,llw
晒,7993.0,日一金田,amcw
吟,7993.0,口人戈弓,roin
汁,7992.0,水十,ej
寺,7992.0,土木戈,gdi
冊,7991.0,月廿,bt
顆,7991.0,田木一月金,wdmbc
嶺,7990.0,山人戈金,uoic
劑,7990.0,卜難中弓,yxln
逼,7989.0,卜一口田,ymrw
慕,7989.0,廿日大心,takp
湧,7988.0,水弓月尸,enbs
寓,7988.0,十田中月,jwlb
鑽,7987.0,金竹山金,chuc
廷,7987.0,弓大竹土,nkhg
寵,7986.0,十卜月心,jybp
綿,7986.0,女火竹日月,vfhab
桿,7985.0,木日一十,damj
截,7985.0,十戈人土,jiog
襲,7984.0,卜心卜竹女,ypyhv
赫,7983.0,土金土中金,gcglc
辯,7983.0,卜十卜口十,yjyrj
榜,7982.0,木卜月尸,dybs
脂,7981.0,月心日,bpa
櫻,7981.0,木月金女,dbcv
憑,7980.0,戈火心,ifp
膜,7980.0,月廿日大,btak
販,7979.0,月金竹水,bche
淋,7979.0,水木木,edd
凍,7978.0,戈一木田,imdw
卷,7978.0,火手尸山,fqsu
刑,7977.0,一廿中弓,mtln
憲,7977.0,十手一心,jqmp
鳴,7976.0,口竹日火,rhaf
憐,7976.0,心火木手,pfdq
傲,7975.0,人土尸大,ogsk
鈴,7975.0,金人戈戈,coii
耗,7974.0,手木竹手山,qdhqu
紋,7973.0,女火卜大,vfyk
慘,7972.0,心戈戈竹,piih
孝,7972.0,十大弓木,jknd
疲,7971.0,大木竹水,kdhe
陌,7971.0,弓中一日,nlma
炮,7970.0,火心口山,fpru
枯,7970.0,木十口,djr
鴨,7969.0,田中竹日火,wlhaf
寸,7969.0,木戈,di
閣,7968.0,日弓竹水口,anher
趙,7968.0,土人火月,gofb
盈,7967.0,弓尸月廿,nsbt
胃,7967.0,田月,wb
凝,7966.0,戈一心大人,impko
孟,7965.0,弓木月廿,ndbt
愉,7965.0,心人一弓,pomn
溜,7964.0,水竹竹田,ehhw
臂,7964.0,尸十月,sjb
惑,7963.0,戈一心,imp
盆,7962.0,金尸竹廿,csht
崇,7962.0,山十一火,ujmf
蛙,7960.0,中戈土土,ligg
邁,7960.0,卜廿田月,ytwb
陪,7959.0,弓中卜廿口,nlytr
廊,7959.0,戈戈戈中,iiil
罰,7958.0,田中卜口弓,wlyrn
佈,7958.0,,
夥,7957.0,田木弓戈弓,wdnin
厭,7956.0,一日月大,mabk
詢,7956.0,卜口心日,yrpa
粒,7955.0,火木卜廿,fdyt
琳,7955.0,一土木木,mgdd
昂,7954.0,日竹女中,ahvl
沖,7954.0,水中,el
艾,7953.0,廿大,tk
扶,7953.0,手手人,qqo
灑,7952.0,水一一心,emmp
礦,7952.0,一口戈廿金,mritc
贊,7951.0,竹山月山金,hubuc
錦,7950.0,金竹日月,chab
翠,7949.0,尸一卜人十,smyoj
禍,7949.0,戈火月月口,ifbbr
肅,7948.0,中難,lx
址,7948.0,土卜中一,gylm
扣,7947.0,手口,qr
劫,7947.0,土戈大尸,giks
乃,7946.0,弓竹尸,nhs
催,7946.0,人山人土,ouog
盜,7945.0,水人月廿,eobt
朱,7944.0,竹十木,hjd
掘,7944.0,手尸山山,qsuu
萄,7943.0,廿心人山,tpou
罵,7943.0,田中尸手火,wlsqf
漠,7942.0,水廿日大,etak
併,7942.0,人廿廿,ott
獅,7941.0,大竹竹口月,khhrb
廉,7941.0,戈廿難金,itxc
稍,7940.0,竹木火月,hdfb
牧,7939.0,竹手人大,hqok
添,7939.0,水竹大心,ehkp
簽,7938.0,竹人一人,homo
慰,7937.0,尸戈心,sip
膀,7937.0,月卜月尸,bybs
塗,7936.0,水木土,edg
棵,7935.0,木田木,dwd
涯,7935.0,水一土土,emgg
勃,7934.0,十木大尸,jdks
炸,7934.0,火人尸,fos
氛,7933.0,人弓金尸竹,oncsh
羽,7933.0,尸一尸戈一,smsim
撿,7932.0,手人一人,qomo
賢,7931.0,尸水月山金,sebuc
懼,7930.0,心月山土,pbug
秘,7930.0,,
廟,7929.0,戈十十月,ijjb
擬,7929.0,手心大人,qpko
盟,7928.0,日月月廿,abbt
吵,7927.0,口火竹,rfh
耕,7927.0,手木廿廿,qdtt
縫,7926.0,女火卜竹十,vfyhj
筋,7926.0,竹月大尸,hbks
疏,7925.0,弓一卜戈山,nmyiu
剩,7925.0,竹心中弓,hpln
柱,7924.0,木卜土,dyg
臘,7923.0,月女女女,bvvv
籃,7923.0,竹尸戈廿,hsit
謀,7922.0,卜口廿一木,yrtmd
賺,7922.0,月金廿難金,bctxc
韻,7921.0,卜日口月金,yarbc
墓,7921.0,廿日大土,takg
敲,7920.0,卜月卜水,ybye
碑,7919.0,一口竹田十,mrhwj
賀,7919.0,大口月山金,krbuc
疊,7918.0,田田田一,wwwm
柏,7918.0,木竹日,dha
薩,7917.0,廿弓中一,tnlm
蹈,7916.0,口一月竹難,rmbhx
虧,7916.0,卜土一一尸,ygmms
瞭,7915.0,月山大金火,bukcf
頸,7915.0,一一一月金,mmmbc
燕,7914.0,廿中心火,tlpf
裕,7913.0,中金人口,lcor
撒,7913.0,手廿月大,qtbk
貫,7912.0,田十月山金,wjbuc
督,7912.0,卜水月山,yebu
猜,7911.0,大竹手一月,khqmb
燃,7910.0,火月大火,fbkf
兼,7910.0,廿難金,txc
雀,7909.0,火人土,fog
鋪,7909.0,金戈十月,cijb
埋,7908.0,土田土,gwg
災,7907.0,女女火,vvf
軌,7907.0,十十大弓,jjkn
厲,7906.0,一廿田月,mtwb
葡,7906.0,廿心戈月,tpib
迪,7905.0,卜中田,ylw
侵,7904.0,人尸一水,osme
迅,7904.0,卜弓十,ynj
嘗,7903.0,火月口心日,fbrpa
夾,7903.0,大人人,koo
帽,7902.0,中月日月山,lbabu
蟻,7901.0,中戈廿土戈,litgi
猛,7901.0,大竹弓木廿,khndt
鳳,7900.0,竹弓一日火,hnmaf
罷,7900.0,田中戈月心,wlibp
碧,7899.0,一日一口,mamr
腹,7898.0,月人日水,boae
捨,7898.0,手人一口,qomr
脹,7897.0,月尸一女,bsmv
氧,7897.0,人弓廿手,ontq
援,7896.0,手月一水,qbme
疼,7895.0,大竹水卜,khey
廂,7895.0,戈木月山,idbu
獸,7894.0,口口戈大,rrik
蹤,7894.0,口一竹人人,rmhoo
薪,7893.0,廿卜木中,tydl
后,7892.0,竹一口,hmr
廚,7892.0,戈土廿戈,igti
割,7891.0,十口中弓,jrln
扮,7890.0,手金尸竹,qcsh
拾,7890.0,手人一口,qomr
邀,7889.0,卜竹尸大,yhsk
黎,7889.0,竹竹人水,hhoe
愁,7888.0,竹火心,hfp
秦,7887.0,手大竹木,qkhd
悉,7887.0,竹木心,hdp
妞,7886.0,女弓土,vng
癌,7885.0,大口口山,krru
籌,7885.0,竹土弓戈,hgni
舍,7884.0,人一十口,omjr
柯,7884.0,木一弓口,dmnr
奈,7883.0,大一一火,kmmf
稻,7882.0,竹木月竹難,hdbhx
丟,7882.0,一土戈,mgi
腸,7881.0,月日一竹,bamh
腰,7880.0,月一田女,bmwv
堡,7880.0,人木土,odg
呆,7879.0,口木,rd
宏,7879.0,十大戈,jki
伏,7878.0,人戈大,oik
嚇,7877.0,口土金金,rgcc
鴻,7877.0,水一竹火,emhf
暢,7876.0,中中日一竹,llamh
棉,7875.0,木竹日月,dhab
溼,7875.0,水一女土,emvg
銅,7874.0,金月一口,cbmr
鍵,7873.0,金弓大手,cnkq
挖,7873.0,手十金弓,qjcn
徹,7872.0,竹人卜月大,hoybk
躲,7871.0,竹竹竹弓木,hhhnd
囊,7870.0,十月口口女,jbrrv
吾,7870.0,一一口,mmr
爛,7869.0,火日弓田,fanw
騰,7868.0,月火手火,bfqf
叢,7868.0,廿金廿水,tcte
褲,7867.0,中戈十十,lijj
恢,7866.0,心大火,pkf
飽,7866.0,人戈心口山,oipru
屈,7865.0,尸山山,suu
籠,7864.0,竹卜月心,hybp
獵,7864.0,大竹女女女,khvvv
輛,7863.0,十十一中月,jjmlb
泳,7862.0,水戈弓水,eine
澤,7861.0,水田中十,ewlj
瘦,7860.0,大竹難水,khxe
詳,7860.0,卜口廿手,yrtq
碎,7859.0,一口卜人十,mryoj
桂,7858.0,木土土,dgg
帳,7858.0,中月尸一女,lbsmv
俄,7857.0,人竹手戈,ohqi
拖,7856.0,手人心木,qopd
串,7856.0,中中,ll
譯,7855.0,卜口田中十,yrwlj
贈,7854.0,月金金田日,bccwa
槍,7854.0,木人戈口,doir
跨,7853.0,口一大一尸,rmkms
捷,7852.0,手十中人,qjlo
宴,7852.0,十日女,jav
昌,7851.0,日日,aa
碰,7850.0,一口廿廿金,mrttc
輩,7850.0,中卜十田十,lyjwj
菌,7849.0,廿田竹木,twhd
循,7848.0,竹人竹十山,hohju
捕,7848.0,手戈十月,qijb
耀,7847.0,火山尸一土,fusmg
姊,7846.0,女中難竹,vlxh
捐,7846.0,手口月,qrb
奉,7845.0,手大手,qkq
攀,7844.0,木木大手,ddkq
川,7844.0,中中中,lll
遙,7843.0,卜月人山,ybou
紐,7842.0,女火弓土,vfng
殿,7842.0,尸金竹弓水,schne
采,7841.0,月木,bd
戒,7840.0,戈廿,it
盒,7839.0,人口月廿,orbt
騎,7838.0,尸火大一口,sfkmr
壇,7837.0,土卜田一,gywm
藉,7837.0,廿手木日,tqda
腔,7836.0,月十金一,bjcm
姨,7835.0,女大弓,vkn
衰,7835.0,卜田一女,ywmv
闊,7834.0,日弓水竹口,anehr
膠,7833.0,月尸一竹,bsmh
猶,7833.0,大竹廿金田,khtcw
甜,7832.0,竹口廿一,hrtm
胖,7831.0,月火手,bfq
俱,7831.0,人月一金,obmc
杯,7830.0,木一火,dmf
召,7829.0,尸竹口,shr
擦,7828.0,手十月火,qjbf
霧,7828.0,一月弓竹尸,mbnhs
鼠,7827.0,竹難女卜女,hxvyv
淺,7826.0,水戈戈,eii
側,7825.0,人月金弓,obcn
欲,7824.0,金口弓人,crno
匆,7824.0,心大大,pkk
眉,7823.0,日竹月山,ahbu
醉,7822.0,一田卜人十,mwyoj
湯,7821.0,水日一竹,eamh
紫,7821.0,卜心女戈火,ypvif
梯,7820.0,木金弓竹,dcnh
抬,7819.0,手戈口,qir
姓,7819.0,女竹手一,vhqm
井,7817.0,廿廿,tt
勁,7816.0,一一大尸,mmks
勤,7816.0,廿一大尸,tmks
肚,7815.0,月土,bg
鎖,7814.0,金火月金,cfbc
尿,7814.0,尸水,se
碼,7813.0,一口尸手火,mrsqf
痕,7812.0,大日女,kav
埃,7811.0,土戈人大,giok
肩,7811.0,竹尸月,hsb
麵,7810.0,十水一田中,jemwl
雕,7809.0,月口人土,brog
掃,7808.0,手尸一月,qsmb
礎,7808.0,一口木木人,mrddo
遷,7807.0,卜一田山,ymwu
碗,7806.0,一口十弓山,mrjnu
殖,7806.0,一弓十月一,mnjbm
勒,7805.0,廿十大尸,tjks
祭,7803.0,月人一一火,bommf
咖,7803.0,口大尸口,rksr
宿,7802.0,十人一日,joma
貞,7801.0,卜月山金,ybuc
垂,7800.0,竹十廿一,hjtm
姿,7800.0,戈人女,iov
拒,7799.0,手尸尸,qss
臣,7798.0,尸中尸中,slsl
擾,7797.0,手一月水,qmbe
躍,7797.0,口一尸一土,rmsmg
啡,7795.0,口中一卜,rlmy
諸,7795.0,卜口十大日,yrjka
曼,7794.0,日田中水,awle
恨,7793.0,心日女,pav
暫,7792.0,十中日,jla
唐,7791.0,戈中口,ilr
赤,7790.0,土中弓金,glnc
讚,7789.0,卜口竹山金,yrhuc
予,7789.0,弓戈弓弓,ninn
魂,7788.0,一戈竹山戈,mihui
聊,7787.0,尸十竹竹中,sjhhl
夕,7786.0,弓戈,ni
君,7786.0,尸大口,skr
爐,7785.0,火卜心廿,fypt
蝶,7784.0,中戈心廿木,liptd
娃,7783.0,女土土,vgg
棋,7783.0,木廿一金,dtmc
嬰,7782.0,月金女,bcv
捉,7781.0,手口卜人,qryo
磨,7780.0,戈金一口,icmr
怒,7780.0,女水心,vep
腿,7779.0,月卜日女,byav
稀,7777.0,竹木大大月,hdkkb
萊,7777.0,廿木人人,tdoo
剪,7776.0,廿月弓竹,tbnh
刷,7775.0,尸月中弓,sbln
辭,7774.0,月月卜廿十,bbytj
擠,7773.0,手卜難,qyx
喪,7773.0,土口口女,grrv
幽,7772.0,山女戈戈,uvii
豔,7771.0,山廿土戈廿,utgit
蒼,7770.0,廿人戈口,toir
搬,7770.0,手竹卜水,qhye
傑,7769.0,人弓手木,onqd
斜,7768.0,人木卜十,odyj
悠,7767.0,人大心,okp
悟,7767.0,心一一口,pmmr
徒,7766.0,竹人土卜人,hogyo
胎,7765.0,月戈口,bir
耶,7764.0,尸十弓中,sjnl
奪,7763.0,大人土戈,kogi
戴,7763.0,十戈田廿金,jiwtc
焦,7762.0,人土火,ogf
牽,7761.0,卜女月手,yvbq
覽,7760.0,尸田月山山,swbuu
悄,7760.0,心火月,pfb
巡,7759.0,卜女女女,yvvv
峽,7758.0,山大人人,ukoo
墨,7756.0,田土火土,wgfg
魔,7756.0,戈金竹山戈,ichui
閱,7755.0,日弓金口山,ancru
梁,7754.0,水金木,ecd
某,7753.0,廿一木,tmd
膽,7752.0,月弓金口,bncr
悅,7751.0,心金口山,pcru
徐,7750.0,竹人人一木,hoomd
垃,7749.0,土卜廿,gyt
圾,7749.0,土弓竹水,gnhe
吐,7748.0,口土,rg
彿,7747.0,竹人中中弓,holln
飄,7746.0,一火竹弓戈,mfhni
曉,7745.0,日土土山,aggu
旋,7744.0,卜尸人弓人,ysono
津,7743.0,水中手,elq
杜,7742.0,木土,dg
闆,7741.0,日弓口口口,anrrr
糊,7741.0,火木十口月,fdjrb
貧,7740.0,金尸竹金,cshc
朵,7739.0,竹弓木,hnd
籍,7738.0,竹手木日,hqda
輯,7737.0,十十口尸十,jjrsj
羊,7736.0,廿手,tq
甲,7736.0,田中,wl
陷,7735.0,弓中弓竹難,nlnhx
粗,7734.0,火木月一,fdbm
寄,7733.0,十大一口,jkmr
哲,7732.0,手中口,qlr
眠,7732.0,月山口女心,burvp
泡,7731.0,水心口山,epru
坦,7730.0,土日一,gam
驅,7729.0,尸火尸口口,sfsrr
嘆,7728.0,口廿中人,rtlo
序,7727.0,戈弓戈弓,inin
郎,7727.0,戈戈弓中,iinl
池,7726.0,水心木,epd
麥,7725.0,十人竹水,johe
轎,7724.0,十十竹大月,jjhkb
彷,7723.0,竹人卜竹尸,hoyhs
渡,7723.0,水戈廿水,eite
檔,7722.0,木火月田,dfbw
遲,7721.0,卜尸水手,yseq
董,7720.0,廿竹十土,thjg
祝,7719.0,戈火口竹山,ifrhu
薄,7717.0,廿水戈戈,teii
丁,7717.0,一弓,mn
篇,7716.0,竹竹尸月,hhsb
振,7715.0,手一一女,qmmv
敏,7714.0,人卜人大,oyok
稿,7713.0,竹木卜口月,hdyrb
稚,7712.0,竹木人土,hdog
滴,7712.0,水卜金月,eycb
插,7711.0,手竹十難,qhjx
踏,7710.0,口一水日,rmea
寂,7709.0,十卜火水,jyfe
苗,7708.0,廿田,tw
繞,7706.0,女火土土山,vfggu
潤,7706.0,水日弓土,eang
番,7705.0,竹木田,hdw
描,7704.0,手廿田,qtw
干,7703.0,一十,mj
頻,7702.0,卜竹一月金,yhmbc
噴,7701.0,口十廿金,rjtc
敵,7700.0,卜月人大,ybok
緒,7700.0,女火十大日,vfjka
返,7699.0,卜竹水,yhe
忠,7698.0,中心,lp
岩,7697.0,山一口,umr
抓,7696.0,手竹中人,qhlo
郵,7695.0,竹一弓中,hmnl
肝,7694.0,月一十,bmj
縱,7693.0,女火竹人人,vfhoo
搶,7692.0,手人戈口,qoir
混,7691.0,水日心心,eapp
濃,7690.0,水廿田女,etwv
蒙,7689.0,廿月一人,tbmo
澳,7687.0,水竹月大,ehbk
腐,7686.0,戈人戈月,ioib
豬,7685.0,一人十大日,mojka
梅,7684.0,木人田卜,dowy
戀,7683.0,女火心,vfp
荒,7681.0,廿卜女山,tyvu
吳,7680.0,口女弓大,rvnk
賓,7679.0,十一竹金,jmhc
耐,7678.0,一月木戈,mbdi
懸,7677.0,月火心,bfp
攻,7676.0,一人大,mok
冒,7676.0,日月山,abu
托,7675.0,手竹心,qhp
酸,7674.0,一田戈金水,mwice
凱,7673.0,山廿竹弓,uthn
毫,7672.0,卜口月山,yrbu
汗,7671.0,水一十,emj
臟,7670.0,月廿戈尸,btis
潛,7669.0,水一山日,emua
徑,7668.0,竹人一女一,homvm
迫,7667.0,卜竹日,yha
鄰,7666.0,火手弓中,fqnl
撞,7666.0,手卜廿土,qytg
漂,7665.0,水一田火,emwf
哀,7664.0,卜口竹女,yrhv
窮,7663.0,十金竹竹弓,jchhn
奏,7662.0,手大竹大,qkhk
聰,7661.0,尸十竹田心,sjhwp
枝,7659.0,木十水,dje
彎,7658.0,女火弓,vfn
仁,7657.0,人一一,omm
琴,7656.0,一土人戈弓,mgoin
奔,7655.0,大十廿,kjt
儀,7654.0,人廿土戈,otgi
瑞,7653.0,一土山一月,mgumb
搭,7652.0,手廿人口,qtor
裁,7652.0,十戈卜竹女,jiyhv
胸,7651.0,月心山大,bpuk
署,7649.0,田中十大日,wljka
虎,7648.0,卜心竹弓,yphn
瓦,7647.0,一女弓戈,mvni
賴,7646.0,木中弓月金,dlnbc
豪,7645.0,卜口月人,yrbo
爆,7644.0,火日廿水,fate
拔,7643.0,手戈大水,qike
乳,7642.0,月木山,bdu
齒,7641.0,卜一山人人,ymuoo
恩,7640.0,田大心,wkp
吹,7639.0,口弓人,rno
幻,7638.0,女戈尸,vis
暖,7637.0,日月一水,abme
阻,7636.0,弓中月一,nlbm
衡,7635.0,竹人弓大弓,honkn
膚,7634.0,卜心田月,ypwb
滾,7633.0,水卜金女,eycv
貪,7632.0,人戈弓金,oinc
莊,7631.0,廿女一土,tvmg
圈,7630.0,田火手山,wfqu
谷,7629.0,金人口,cor
肌,7628.0,月竹弓,bhn
診,7627.0,卜口人竹竹,yrohh
弄,7626.0,一土廿,mgt
兄,7625.0,口竹山,rhu
鄭,7624.0,廿大弓中,tknl
罪,7623.0,田中中一卜,wllmy
揭,7622.0,手日心女,qapv
殊,7621.0,一弓竹十木,mnhjd
齡,7620.0,卜山人戈戈,yuoii
貓,7619.0,月竹廿田,bhtw
傾,7618.0,人心一金,opmc
粉,7617.0,火木金尸竹,fdcsh
洛,7616.0,水竹水口,eher
慈,7615.0,廿女戈心,tvip
紹,7614.0,女火尸竹口,vfshr
迴,7613.0,卜田口,ywr
喊,7612.0,口戈竹口,rihr
末,7611.0,木十,dj
繪,7610.0,女火人一日,vfoma
貌,7609.0,月竹竹日山,bhhau
塵,7608.0,戈心土,ipg
閉,7607.0,日弓木竹,andh
瓶,7606.0,廿廿一女弓,ttmvn
浮,7605.0,水月弓木,ebnd
泉,7604.0,竹日水,hae
彼,7603.0,竹人木竹水,hodhe
損,7601.0,手口月金,qrbc
烏,7600.0,竹口卜火,hryf
旗,7599.0,卜尸人廿金,ysotc
摸,7598.0,手廿日大,qtak
裂,7597.0,一弓卜竹女,mnyhv
尖,7596.0,火大,fk
滅,7595.0,水戈竹火,eihf
堆,7594.0,土人土,gog
既,7593.0,日戈一女山,aimvu
滑,7592.0,水月月月,ebbb
狂,7591.0,大竹一土,khmg
椅,7589.0,木大一口,dkmr
惱,7588.0,心女女田,pvvw
陶,7587.0,弓中心人山,nlpou
偉,7586.0,人木一手,odmq
扭,7584.0,手弓土,qng
汙,7583.0,水一木,emd
