單字,字頻,拆字1,code1
若,21432.0,廿大口,tkr
然,21411.0,月大火,bkf
屬,21400.0,尸水田戈,sewi
況,21322.0,水口竹山,erhu
境,21285.0,土卜廿山,gytu
存,21270.0,大中弓木,klnd
球,21266.0,一土戈十水,mgije
集,21243.0,人土木,ogd
抵,21232.0,手竹心一,qhpm
趨,21221.0,土人心山山,gopuu
消,21206.0,水火月,efb
口,21193.0,口,r
編,21176.0,女火竹尸月,vfhsb
寬,21099.0,十廿月戈,jtbi
差,21096.0,廿手一,tqm
代,21091.0,人戈心,oip
團,21071.0,田十戈戈,wjii
流,21021.0,水卜戈山,eyiu
占,20942.0,卜口,yr
益,20941.0,廿金月廿,tcbt
授,20708.0,手月月水,qbbe
隨,20684.0,弓中卜大月,nlykb
號,20641.0,口尸卜心弓,rsypn
記,20633.0,卜口尸山,yrsu
券,20588.0,火手尸竹,fqsh
考,20485.0,十大一女尸,jkmvs
優,20356.0,人一月水,ombe
控,20349.0,手十金一,qjcm
免,20319.0,弓日竹山,nahu
告,20295.0,竹土口,hgr
備,20210.0,人廿竹月,othb
林,20157.0,木木,dd
氣,20139.0,人弓火木,onfd
完,20136.0,十一一山,jmmu
反,20081.0,竹水,he
我,20019.0,竹手戈,hqi
即,19967.0,日戈尸中,aisl
從,19908.0,竹人人人人,hoooo
訂,19899.0,卜口一弓,yrmn
園,19882.0,田土口女,wgrv
質,19871.0,竹中月山金,hlbuc
小,19811.0,弓金,nc
電,19811.0,一月田山,mbwu
登,19769.0,弓人一口廿,nomrt
再,19758.0,一土月,mgb
讓,19740.0,卜口卜口女,yryrv
樓,19706.0,木中中女,dllv
押,19702.0,手田中,qwl
今,19686.0,人戈弓,oin
類,19680.0,火大一月金,fkmbc
換,19509.0,手弓月大,qnbk
竹,19482.0,竹,h
決,19470.0,水木大,edk
宜,19441.0,十月一,jbm
銷,19425.0,金火月,cfb
布,19329.0,大中月,klb
確,19296.0,一口人月土,mrobg
觀,19281.0,廿土月山山,tgbuu
十,19274.0,十,j
移,19238.0,竹木弓戈弓,hdnin
青,19204.0,手一月,qmb
超,19169.0,土人尸竹口,goshr
劃,19154.0,中一中弓,lmln
跌,19064.0,口一竹手人,rmhqo
括,19049.0,手竹十口,qhjr
印,18998.0,竹心尸中,hpsl
疫,18914.0,大竹弓水,khne
課,18851.0,卜口田木,yrwd
